Government	the servic u.s. depart agricultur data soil survey support agricultur plan geograph farm activ data provid geoloc tempor data allow applic gener report data specif locat region select time period the servic free soil survey data convent download format real-tim access select data elements.api method support submiss queri access data usda soil survey potenti select geograph time period subset data method retriev raw data map layer support report analysi visual map applic arcgi format support
Payments	the payfort trust channel api enabl pci certifi merchant collect user credit card detail merchant checkout accord websit merchant process ecommerc recur moto transact fort card data credit card token
Financial	the nfusion solut preciou metal api develop realtim histor spot price preciou metal includ gold silver platinum palladium it offer exchang rate major currenc pair exchang rate cryptocurr btc eth ltc all api call requir authent
Payments	.io mobil payment servic card.io integr applic mobil payment card.io mobil phone camera credit card scan payment processing.th card.io api develop integr function card.io applic the main api method accept payment retriev credit card payment
Telephony	the servic incom voip telephoni function accept answer intern call it establish virtual telephon local caller forward call voice-over-ip voip remot call center cost-effect respons user answer call provid local intern call charges.api method support list countri local servic countri method support account manag includ call histori current balanc the api report direct dial did establish account session session initi protocol sip statu
Tools	slack tool manag team commun slack bring team messag file post twitter dropbox trello googl doc github servic onc collect materi archiv index search nativ applic io android devic user access slack go.slack api user integr third-parti applic some out-of-the-box integr provid api addit function with slack api user upload imag file channel histori set channel unread marker retriev list file search slack instanc
Enterprise	picqer onlin inventori warehous manag system picqer help user manag inventori stock desktop tablet mobiles.th picqer api develop access integr function picqer applic public document develop contact picqer info picqer.com api access
Messaging	milkysm nigerian sm gateway user send messag 700 network 150 countri user integr websit applic milkysm gateway rest api enabl send sm check balanc applic
Tools	transifex servic allow peopl collabor translat softwar document type project design hub translat sourc project transifex support translat straight project sourc the transifex api rest api develop build applic transifex tool
Social	the lknsuit url shorten api develop creat lkn.li link shrink capabl it rest method json respons languag javascript php asp.net java lknsuit publish schedul content social media site facebook twitter google+ linkedin tumblr wordpress wordpress.com host wordpress site also post instagram directli web mobil appic there wordpress plugin http //wordpress.org/plugins/lknsuite/ lknsuit suit onlin product tool commun platform multitask gateway manag network
Transportation	laximo aftermarket russian websit car compon primari secondari market becaus user compon rate reliabl form rich onlin resourc profession trade automot laximo offer searchabl catalog spare sale laximo spare catalog integr websit laximo aftermarket soap api the websit provid sole russian
Telephony	nimbuzz mobil applic user receiv call messag contact share file free nimbuzz mobil social connect application.th nimbuzz api develop access integr function nimbuzz applic public document develop sign access
Email	the googl app group migrat api develop migrat email file email distribut list public folder googl group discuss archiv the api main method upload migrat email file archiv
Social	ost.io open-sourc talk forum peopl open-sourc project user it design replac mail list open-sourc project discuss ost.io close integr github user sign github sync repositori servic user choos receiv email notif post repositori thread comment repositori thread
Financial	creditapi servic approv compani individu access credit report credit report bureau credtapi offer credit analyz tools.th credit api develop access integr data function creditapi applic some api method retriev credit score retriev credit report access credit analysi
Mapping	the servic map imag global locat transfer electron tile join grid display complet map applic submit locat paramet identifi map servic break imag data deliveri singl recipi multipl recipi set pre-rend tile allow 18 zoom levels.api method support map request boundari tile locat map zoom level return data provid pre-rend tile imag option method return travel rout real-tim traffic data addit layer overlay map imag
Enterprise	the servic open-sourc web-host busi activ report tool it intend render graph report busi perform base complex data simpl user experi the report tool integr analyt dashboard interact report comprehens web interface.api method support manag user account includ creation user assign role event notif method support configur implement report servic
Science	antweb commun driven onlin databas ant imag specimen record natur histori the site goal publish qualiti imag ant speci antweb expos data public api the api develop programmat queri specimen taxonomi specimen code decim coordin day specimen enter databas
eCommerce	clearent developer-friendli payment platform offer multipl integr option provid custom seamless transact experi when integr credit card payment clearent api solut start earn money live support payment expert
Science	integr dna technolog idt compani manufactur sell oligonucleotid short single-strand dna rna molecul on websit provid oligo analyz servic examin oligonucleotid oligo varieti thi servic web interfac analyz hetero-dim self-dim function soap functions.th analyz servic return physic properti oligo sequenc the hetero-dim examin duplex oligo combin the self-dim report duplex stabil oligo hybrid
Government	aids.gov govern site dedic increas hiv test care live hiv at-risk popul the site access feder hiv polici e.g nation hiv/aid strategi program resources.th site offer user hiv/aid prevent servic provid locat location-bas search tool user search test servic hous provid health center servic provid locat the api access data tool servic provid name address phone locat categor servic type it rest call respons format json html
Reference	use boliven api integr patent data websit applic the rest api develop access boliven store 55 million+ patent document data json xml data boliven.com host collect 100 index digit patent scienc documents.mor data sourc come onlin includ drug medic devic public compani trademark
Advertising	the adform campaign api integr campaign json format http request budget durat viewabl impress durat evalu implement interfac
Financial	istanbul altin borsasi english istanbul gold exchang play role develop gold-bas invest vehicl intern integr turkish gold sector the elektronik borsa sistemi electron exchang system provid istanbul altin borsasi thi system access soap call xml format all document turkish
